transplant,month,status,count
SS,0W,alive,20
SS,0W,dead,0
SS,0W,missing,0
SS,1W,alive,20
SS,1W,dead,0
SS,1W,missing,0
SS,2W,alive,20
SS,2W,dead,0
SS,2W,missing,0
SS,4W,alive,11
SS,4W,dead,0
SS,4W,missing,9
SS,8W,alive,3
SS,8W,dead,0
SS,8W,missing,17
SD,0W,alive,20
SD,0W,dead,0
SD,0W,missing,0
SD,1W,alive,20
SD,1W,dead,0
SD,1W,missing,0
SD,2W,alive,20
SD,2W,dead,0
SD,2W,missing,0
SD,4W,alive,13
SD,4W,dead,1
SD,4W,missing,6
SD,8W,alive,10
SD,8W,dead,1
SD,8W,missing,9
DD,0W,alive,20
DD,0W,dead,0
DD,0W,missing,0
DD,1W,alive,20
DD,1W,dead,0
DD,1W,missing,0
DD,2W,alive,20
DD,2W,dead,0
DD,2W,missing,0
DD,4W,alive,12
DD,4W,dead,5
DD,4W,missing,3
DD,8W,alive,9
DD,8W,dead,7
DD,8W,missing,4
DS,0W,alive,20
DS,0W,dead,0
DS,0W,missing,0
DS,1W,alive,13
DS,1W,dead,7
DS,1W,missing,0
DS,2W,alive,3
DS,2W,dead,15
DS,2W,missing,2
DS,4W,alive,0
DS,4W,dead,18
DS,4W,missing,2
DS,8W,alive,0
DS,8W,dead,18
DS,8W,missing,2
